symbol,coin,UCID
BTCUSDT,BTC,1
ETHUSDT,ETH,1027
XRPUSDT,XRP,52
SOLUSDT,SOL,5426
DOGEUSDT,DOGE,74
ADAUSDT,ADA,2010
SUIUSDT,SUI,20947
PNUTUSDT,PNUT,33788
1000PEPEUSDT,PEPE,24478
AI16ZUSDT,AI16Z,34026
AGLDUSDT,AGLD,11568
ENAUSDT,ENA,30171
CGPTUSDT,CGPT,23756
SWARMSUSDT,SWARMS,34993
FARTCOINUSDT,FARTCOIN,33597
XLMUSDT,XLM,512
STGUSDT,STG,18934
USUALUSDT,USUAL,33979
AIXBTUSDT,AIXBT,34103
HIVEUSDT,HIVE,5370
POPCATUSDT,POPCAT,28782
WIFUSDT,WIF,28752
TIAUSDT,TIA,22861
BNBUSDT,BNB,1839
PENGUUSDT,PENGU,34466
VIRTUALUSDT,VIRTUAL,29420
LINKUSDT,LINK,1975
WLDUSDT,WLD,13502
ACTUSDT,ACT,33566
HBARUSDT,HBAR,4642
BCHUSDT,BCH,1831
1000SHIBUSDT,SHIB,5994
MOVEUSDT,MOVE,32452
AVAXUSDT,AVAX,5805
NEIROUSDT,NEIRO,32521
BIOUSDT,BIO,34812
LTCUSDT,LTC,2
AAVEUSDT,AAVE,7278
SONICUSDT,SONIC,35051
ZEREBROUSDT,ZEREBRO,34083
BANUSDT,BAN,33881
FILUSDT,FIL,2280
APTUSDT,APT,21794
SANDUSDT,SAND,6210
WAXPUSDT,WAXP,2300
ARBUSDT,ARB,11841
GOATUSDT,GOAT,33440
DOTUSDT,DOT,6636
CRVUSDT,CRV,6538
GALAUSDT,GALA,7080
ONDOUSDT,ONDO,21159
UNIUSDT,UNI,7083
FETUSDT,FET,3773
TRXUSDT,TRX,1958
ARKUSDT,ARK,1586
GASUSDT,GAS,1785
ORDIUSDT,ORDI,25028
EIGENUSDT,EIGEN,30494
TAOUSDT,TAO,22974
IOTAUSDT,IOTA,1720
INJUSDT,INJ,7226
THETAUSDT,THETA,2416
COOKIEUSDT,COOKIE,31838
SPXUSDT,SPX,28081
1000BONKUSDT,BONK,23095
CHILLGUYUSDT,CHILLGUY,34125
RUNEUSDT,RUNE,4157
ALGOUSDT,ALGO,4030
STMXUSDT,STMX,2297
AIUSDT,AI,28846
MOODENGUSDT,MOODENG,33093
ZENUSDT,ZEN,1698
NEARUSDT,NEAR,6535
GRIFFAINUSDT,GRIFFAIN,34792
OPUSDT,OP,11840
UXLINKUSDT,UXLINK,32257
ALCHUSDT,ALCH,34880
SEIUSDT,SEI,23149
1000SATSUSDT,SATS,28194
NOTUSDT,NOT,28850
GMTUSDT,GMT,18069
OMUSDT,OM,6536
TONUSDT,TON,11419
ETCUSDT,ETC,1321
EOSUSDT,EOS,1765
STEEMUSDT,STEEM,1230
IOSTUSDT,IOST,2405
ATOMUSDT,ATOM,3794
COWUSDT,COW,19269
KNCUSDT,KNC,9444
RENDERUSDT,RENDER,5690
THEUSDT,THE,23335
PHAUSDT,PHA,6841
ETHFIUSDT,ETHFI,29814
IOUSDT,IO,29835
POWRUSDT,POWR,2132
XTZUSDT,XTZ,2011
APEUSDT,APE,18876
MOCAUSDT,MOCA,31526
DOGSUSDT,DOGS,32698
MEUSDT,ME,32197
SUSHIUSDT,SUSHI,6758
